Id,lpa
316609,0
5011,0
222163,0
79902,0
29420,0
140349,0
186185,0
42845,0
422221,0
118587,0
161509,0
315894,0
293898,0
81944,0
303799,0
177998,0
23291,0
273011,0
254787,0
253463,0
168675,0
285320,0
197238,0
41185,0
368920,0
29519,0
1045,0
267195,0
455514,0
102183,0
94764,0
376626,0
139566,0
110177,0
56534,0
388659,0
399101,0
395157,0
75579,0
294753,0
222057,0
88699,0
261246,0
10301,0
90159,0
11200,0
215699,0
434152,0
222249,0
170717,0
299581,0
289327,0
90017,0
376310,0
326293,0
105791,0
323802,0
137365,0
291399,0
277385,0
307771,0
303381,0
408738,0
212872,0
36613,0
178371,0
202114,0
215028,0
103053,0
391902,0
327115,0
81605,0
210423,0
288062,0
224408,0
160632,0
334381,0
374659,0
121369,0
430334,0
244595,0
5857,0
255875,0
338621,0
299909,0
48041,0
231265,0
366802,0
241734,0
444799,0
338752,0
230465,0
344199,0
192785,0
450541,0
173030,0
304700,0
19744,0
54302,0
437731,0
264185,0
308819,0
368529,0
455566,0
42896,0
360705,0
378904,0
340570,0
301784,0
225849,0
270565,0
311009,0
42739,0
353972,0
247391,0
155880,0
155603,0
386612,0
249330,0
445175,0
86441,0
439830,0
176490,0
29770,0
279774,0
138584,0
98707,0
236781,0
237709,0
431188,0
417727,0
440711,0
126086,0
186146,0
67080,0
261033,0
188630,0
146458,0
42496,0
267800,0
449474,0
13948,0
299251,0
181949,0
245959,0
179248,0
263695,0
181530,0
143937,0
277040,0
297452,0
453848,0
387085,0
124226,0
236093,0
252264,0
66050,0
211015,0
179644,0
136870,0
447283,0
211382,0
229566,0
450296,0
320366,0
105935,0
241575,0
39803,0
42463,0
193149,0
352579,0
254661,0
29544,0
186994,0
211596,0
184537,0
177040,0
246771,0
127489,0
147268,0
18469,0
344505,0
440671,0
289377,0
124866,0
200281,0
235348,0
154272,0
184241,0
209223,0
243196,0
385453,0
214189,0
26344,0
198717,0
273894,0
381022,0
425668,0
133195,0
445236,0
59327,0
241204,0
348994,0
390557,0
116008,0
387365,0
239435,0
159204,0
323803,0
89390,0
346108,0
136658,0
13566,0
270059,0
174237,0
301785,0
163831,0
166431,0
298223,0
57228,0
204823,0
382430,0
123143,0
341256,0
255266,0
420501,0
41232,0
118038,0
212672,0
395103,0
283935,0
415441,0
34107,0
109213,0
426689,0
196221,0
51667,0
185918,0
284232,0
152004,0
208134,0
279193,0
183622,0
374658,0
220762,0
206692,0
353157,0
431205,0
318869,0
325684,0
59301,0
215531,0
410522,0
455400,0
222429,0
107267,0
400676,0
426387,0
406854,0
431002,0
88614,0
121393,0
170382,0
343393,0
294594,0
152453,0
429578,0
215266,0
428078,0
126120,0
402290,0
387239,0
279017,0
212210,0
264523,0
145121,0
273855,0
252758,0
74965,0
323141,0
349585,0
178375,0
318126,0
302725,0
257417,0
128795,0
246823,0
109752,0
253230,0
159563,0
412426,0
222920,0
280638,0
175816,0
373927,0
391931,0
184826,0
407681,0
126178,0
330098,0
435678,0
75872,0
299828,0
20429,0
361828,0
359020,0
16612,0
97693,0
256154,0
263940,0
103251,0
147963,0
148117,0
50891,0
340810,0
248251,0
172857,0
213067,0
18174,0
248075,0
9591,0
448451,0
331202,0
38850,0
219589,0
330055,0
288143,0
134974,0
214756,0
372043,0
445027,0
291259,0
346752,0
117162,0
351127,0
84271,0
47354,0
184326,0
362187,0
27003,0
115976,0
25808,0
98929,0
330653,0
195445,0
90244,0
319736,0
180944,0
278439,0
87111,0
231981,0
57075,0
368341,0
279943,0
185766,0
179165,0
213869,0
180329,0
104616,0
372754,0
283971,0
154618,0
327433,0
250863,0
154784,0
66503,0
160073,0
244498,0
344994,0
389810,0
23168,0
190059,0
160233,0
281801,0
18136,0
252458,0
50922,0
44690,0
143666,0
332919,0
120359,0
40678,0
376153,0
158971,0
202062,0
199767,0
339159,0
56605,0
90260,0
356818,0
208687,0
143633,0
164877,0
222801,0
255224,0
296631,0
200065,0
228946,0
182570,0
260119,0
238493,0
267464,0
373743,0
257529,0
234516,0
223342,0
405467,0
99515,0
148262,0
161283,0
259067,0
103586,0
440688,0
226502,0
399263,0
446477,0
2464,0
130140,0
43037,0
113366,0
322502,0
360065,0
290862,0
134146,0
28905,0
222062,0
442456,0
54442,0
280225,0
212448,0
65392,0
419804,0
214050,0
335520,0
302278,0
114331,0
417694,0
353867,0
245060,0
405358,0
445945,0
123250,0
280450,0
440712,0
233035,0
58272,0
133745,0
208471,0
10199,0
380918,0
138336,0
176848,0
440733,0
143394,0
232774,0
253194,0
272116,0
423159,0
167276,0
76144,0
153794,0
285940,0
112735,0
401504,0
195636,0
144371,0
226456,0
155564,0
204676,0
435640,0
23785,0
183161,0
175799,0
102845,0
228023,0
330923,0
292004,0
174774,0
318121,0
107230,0
81213,0
135950,0
192370,0
10328,0
176556,0
270679,0
251068,0
95610,0
29480,0
414659,0
220402,0
154772,0
443963,0
429312,0
126549,0
27533,0
64101,0
419476,0
221677,0
199267,0
116065,0
378186,0
22563,0
192582,0
165199,0
261330,0
245199,0
254786,0
191841,0
55456,0
105498,0
283237,0
121659,0
188632,0
196711,0
405784,0
46877,0
333754,0
416015,0
439696,1
12389,1
443656,1
438154,1
404136,1
363929,1
16797,1
39017,1
79799,1
267163,1
426122,1
416141,1
280826,1
447630,1
12434,1
448733,1
55050,1
89891,1
455246,1
191959,1
323355,1
240015,1
367912,1
215322,1
27644,1
148816,1
362976,1
275267,1
146890,1
371638,1
234426,1
45789,1
454867,1
212857,1
373310,1
430177,1
443468,1
209718,1
358900,1
326737,1
256867,1
227898,1
358291,1
231050,1
389878,1
427957,1
406319,1
403377,1
448624,1
332545,1
447924,1
131516,1
138365,1
439543,1
104974,1
392622,1
179756,1
424922,1
